fecha,tasaInteres,volume,close,adjClose
1/1/2005,8.6,1546149800,13097.12012,13097.12012
2/1/2005,9.15,1614262600,13789.45996,13789.45996
3/1/2005,9.41,1334729200,12676.90039,12676.90039
4/1/2005,9.63,1404406600,12322.99023,12322.99023
5/1/2005,9.75,1608936400,12964.38965,12964.38965
6/1/2005,9.63,1595995800,13486.12988,13486.12988
7/1/2005,9.61,1867108800,14409.66016,14409.66016
8/1/2005,9.6,2441173200,14243.19043,14243.19043
9/1/2005,9.21,2258642000,16120.08008,16120.08008
10/1/2005,8.91,2591605000,15759.73047,15759.73047
11/1/2005,8.71,2176796200,16830.96094,16830.96094
12/1/2005,8.22,1834573800,17802.71094,17802.71094
1/1/2006,7.88,2359375600,18907.09961,18907.09961
2/1/2006,7.61,2272388800,18706.32031,18706.32031
3/1/2006,7.37,2590958700,19272.63086,19272.63086
4/1/2006,7.17,2156595000,20646.18945,20646.18945
5/1/2006,7.02,3221960000,18677.91992,18677.91992
6/1/2006,7.02,2855556500,19147.16992,19147.16992
7/1/2006,7.03,2292763400,20095.92969,20095.92969
8/1/2006,7.03,2275022700,21049.34961,21049.34961
9/1/2006,7.06,2319985900,21937.10938,21937.10938
10/1/2006,7.05,2722560900,23046.94922,23046.94922
11/1/2006,7.04,2272440700,24962.00977,24962.00977
12/1/2006,7.04,1986448600,26448.32031,26448.32031
1/1/2007,7.04,2938052800,27561.49023,27561.49023
2/1/2007,7.04,3258849000,26638.94922,26638.94922
3/1/2007,7.04,2636805500,28747.68945,28747.68945
4/1/2007,7.01,2074728300,28996.71094,28996.71094
5/1/2007,7.24,2779251700,31398.96094,31398.96094
6/1/2007,7.2,2665500700,31151.05078,31151.05078
7/1/2007,7.19,3212761400,30659.66016,30659.66016
8/1/2007,7.2,3177673900,30347.85938,30347.85938
9/1/2007,7.21,2297855500,30296.18945,30296.18945
10/1/2007,7.2,3289441600,31458.66992,31458.66992
11/1/2007,7.44,2609756900,29770.51953,29770.51953
12/1/2007,7.44,1836370500,29536.83008,29536.83008
1/1/2008,7.42,3218717000,28793.64063,28793.64063
2/1/2008,7.43,2852818100,28918.51953,28918.51953
3/1/2008,7.43,2771714600,30912.99023,30912.99023
4/1/2008,7.44,3577602100,30281.41016,30281.41016
5/1/2008,7.44,2932275300,31975.4707,31975.4707
6/1/2008,7.56,3025396500,29395.49023,29395.49023
7/1/2008,7.93,3569241900,27501.01953,27501.01953
8/1/2008,8.18,2750605400,26290.99023,26290.99023
9/1/2008,8.17,3866331000,24888.90039,24888.90039
10/1/2008,7.74,6111676500,20445.32031,20445.32031
11/1/2008,7.43,3388748100,20534.7207,20534.7207
12/1/2008,8.02,3336205700,22380.32031,22380.32031
1/1/2009,7.59,3316931400,19565.14063,19565.14063
2/1/2009,7.12,2953063100,17752.17969,17752.17969
3/1/2009,7.03,4156261800,19626.75,19626.75
4/1/2009,6.05,4202016200,21898.84961,21898.84961
5/1/2009,5.29,3743979500,24331.71094,24331.71094
6/1/2009,4.98,3343019900,24368.38086,24368.38086
7/1/2009,4.59,3220087000,27043.5,27043.5
8/1/2009,4.49,3814195600,28129.94922,28129.94922
9/1/2009,4.48,3987657500,29232.24023,29232.24023
10/1/2009,4.51,4039025200,28646.0293,28646.0293
11/1/2009,4.51,2981367200,30957.10938,30957.10938
12/1/2009,4.5,3095700500,32120.4707,32120.4707
1/1/2010,4.49,3905039400,30391.60938,30391.60938
2/1/2010,4.49,3097247600,31634.53906,31634.53906
3/1/2010,4.45,3675413700,33266.42969,33266.42969
4/1/2010,4.44,3738004700,32687.32031,32687.32031
5/1/2010,4.52,4636273400,32038.5293,32038.5293
6/1/2010,4.59,3624628600,31156.9707,31156.9707
7/1/2010,4.6,3248575600,32308.74023,32308.74023
8/1/2010,4.52,3461861700,31679.84961,31679.84961
9/1/2010,4.43,3054361800,33330.33984,33330.33984
10/1/2010,4.03,3850008900,35568.21875,35568.21875
11/1/2010,3.97,3368147400,36817.32031,36817.32031
12/1/2010,4.3,3047932600,38550.78906,38550.78906
1/1/2011,4.14,3297273600,36982.23828,36982.23828
2/1/2011,4.04,3340423200,37019.69922,37019.69922
3/1/2011,4.27,3467190800,37440.51172,37440.51172
4/1/2011,4.28,2891911000,36962.62109,36962.62109
5/1/2011,4.31,3915401800,35832.78906,35832.78906
6/1/2011,4.37,4298215600,36558.07031,36558.07031
7/1/2011,4.14,4616329000,35999.33984,35999.33984
8/1/2011,4.05,6461202600,35721.10156,35721.10156
9/1/2011,4.23,4889574800,33503.28125,33503.28125
10/1/2011,4.36,5734793000,36159.98828,36159.98828
11/1/2011,4.35,5055141200,36829.14844,36829.14844
12/1/2011,4.34,3454976800,37077.51953,37077.51953
1/1/2012,4.27,3961628800,37422.67969,37422.67969
2/1/2012,4.32,5344108800,37816.69141,37816.69141
3/1/2012,4.24,4185688800,39521.23828,39521.23828
4/1/2012,4.29,3443621400,39461,39461
5/1/2012,4.39,5356163400,37872.94922,37872.94922
6/1/2012,4.34,4704902200,40199.55078,40199.55078
7/1/2012,4.15,3665044800,40704.28125,40704.28125
8/1/2012,4.13,4342420600,39421.64844,39421.64844
9/1/2012,4.17,3852982200,40799.23828,40799.23828
10/1/2012,4.21,4522686000,41619.96094,41619.96094
11/1/2012,4.29,4664850000,41833.51953,41833.51953
12/1/2012,4.05,3798299800,43705.82813,43705.82813
1/1/2013,4.15,4460251400,45278.05859,45278.05859
2/1/2013,4.19,5010428700,44120.98828,44120.98828
3/1/2013,3.98,6585330200,44077.08984,44077.08984
4/1/2013,3.82,5651151800,42263.48047,42263.48047
5/1/2013,3.72,5768459600,41588.32031,41588.32031
6/1/2013,3.78,6298453800,40623.30078,40623.30078
7/1/2013,3.85,5162993500,40837.87891,40837.87891
8/1/2013,3.84,6490914100,39492.37109,39492.37109
9/1/2013,3.64,4429287200,40185.23047,40185.23047
10/1/2013,3.39,4427674300,41038.64844,41038.64844
11/1/2013,3.39,4543319800,42499.12891,42499.12891
12/1/2013,3.29,4603418800,42727.08984,42727.08984
1/1/2014,3.14,4229492000,40879.75,40879.75
2/1/2014,3.16,3833515000,38782.89063,38782.89063
3/1/2014,3.17,4802405800,40461.60156,40461.60156
4/1/2014,3.23,4005165200,40711.55859,40711.55859
5/1/2014,3.28,4145067000,41362.51172,41362.51172
6/1/2014,3.02,3759913300,42737.17188,42737.17188
7/1/2014,2.83,3862245200,43817.69141,43817.69141
8/1/2014,2.77,3653269300,45628.08984,45628.08984
9/1/2014,2.83,3527024300,44985.66016,44985.66016
10/1/2014,2.9,4571794800,45027.51953,45027.51953
11/1/2014,2.85,3561912800,44190.46875,44190.46875
12/1/2014,2.81,3580012000,43145.66016,43145.66016
1/1/2015,2.67,4064376800,40950.57813,40950.57813
2/1/2015,2.81,3934966300,44190.17188,44190.17188
3/1/2015,3.04,4235277600,43724.78125,43724.78125
4/1/2015,2.97,3899846400,44582.39063,44582.39063
5/1/2015,2.98,3729981800,44703.62109,44703.62109
6/1/2015,2.96,4066611600,45053.69922,45053.69922
7/1/2015,2.99,4245777800,44752.92969,44752.92969
8/1/2015,3.04,4289232100,43721.96094,43721.96094
9/1/2015,3.1,3883811000,42632.53906,42632.53906
10/1/2015,3.02,4206660300,44542.76172,44542.76172
11/1/2015,3.02,4159364300,43418.55078,43418.55078
12/1/2015,3.14,4371348600,42977.5,42977.5
